,Created Date,Negative,Neutral,Positive,Tweets Ago,Twitter Account,compound
25,2018-03-21 00:32:03+00:00,0.167,0.833,0.0,26,CNN,-0.5574
26,2018-03-21 00:26:07+00:00,0.0,0.787,0.213,27,CNN,0.4019
27,2018-03-21 00:17:47+00:00,0.107,0.893,0.0,28,CNN,-0.34
28,2018-03-21 00:13:17+00:00,0.0,0.894,0.106,29,CNN,0.2235
29,2018-03-21 00:12:56+00:00,0.0,0.927,0.073,30,CNN,0.128
30,2018-03-21 00:12:34+00:00,0.0,0.909,0.091,31,CNN,0.2023
31,2018-03-21 00:00:49+00:00,0.073,0.927,0.0,32,CNN,-0.128
32,2018-03-20 23:57:06+00:00,0.0,0.894,0.106,33,CNN,0.2235
33,2018-03-20 23:52:03+00:00,0.0,1.0,0.0,34,CNN,0.0
34,2018-03-20 23:51:36+00:00,0.0,1.0,0.0,35,CNN,0.0
35,2018-03-20 23:47:26+00:00,0.17,0.83,0.0,36,CNN,-0.5994
36,2018-03-20 23:41:59+00:00,0.073,0.927,0.0,37,CNN,-0.128
37,2018-03-20 23:37:42+00:00,0.145,0.726,0.129,38,CNN,-0.1027
38,2018-03-20 23:32:06+00:00,0.14,0.86,0.0,39,CNN,-0.3818
39,2018-03-20 23:27:07+00:00,0.104,0.779,0.117,40,CNN,0.0772
40,2018-03-20 23:22:07+00:00,0.153,0.847,0.0,41,CNN,-0.4404
41,2018-03-20 23:18:21+00:00,0.08,0.707,0.213,42,CNN,0.4621
42,2018-03-20 23:17:06+00:00,0.231,0.769,0.0,43,CNN,-0.5423
43,2018-03-20 23:12:06+00:00,0.0,1.0,0.0,44,CNN,0.0
44,2018-03-20 23:11:30+00:00,0.0,0.817,0.183,45,CNN,0.5859
45,2018-03-20 23:07:04+00:00,0.095,0.905,0.0,46,CNN,-0.2263
46,2018-03-20 23:02:06+00:00,0.123,0.877,0.0,47,CNN,-0.2732
47,2018-03-20 22:57:04+00:00,0.0,1.0,0.0,48,CNN,0.0
48,2018-03-20 22:52:04+00:00,0.0,1.0,0.0,49,CNN,0.0
49,2018-03-20 22:51:03+00:00,0.0,0.93,0.07,50,CNN,0.128
50,2018-03-20 22:47:04+00:00,0.153,0.847,0.0,51,CNN,-0.5574
51,2018-03-20 22:42:05+00:00,0.335,0.545,0.12,52,CNN,-0.7096
52,2018-03-20 22:38:03+00:00,0.0,1.0,0.0,53,CNN,0.0
53,2018-03-20 22:32:07+00:00,0.0,1.0,0.0,54,CNN,0.0
54,2018-03-20 22:28:10+00:00,0.0,0.828,0.172,55,CNN,0.4404
55,2018-03-20 22:24:35+00:00,0.339,0.661,0.0,56,CNN,-0.802
56,2018-03-20 22:10:09+00:00,0.282,0.718,0.0,57,CNN,-0.6249
57,2018-03-20 22:05:09+00:00,0.159,0.725,0.116,58,CNN,-0.0516
58,2018-03-20 22:00:11+00:00,0.153,0.847,0.0,59,CNN,-0.4019
59,2018-03-20 21:55:05+00:00,0.118,0.882,0.0,60,CNN,-0.34
60,2018-03-20 21:52:29+00:00,0.24,0.76,0.0,61,CNN,-0.7184
61,2018-03-20 21:51:54+00:00,0.289,0.711,0.0,62,CNN,-0.7579
62,2018-03-20 21:50:06+00:00,0.0,0.849,0.151,63,CNN,0.4939
63,2018-03-20 21:45:06+00:00,0.0,1.0,0.0,64,CNN,0.0
64,2018-03-20 21:40:08+00:00,0.324,0.676,0.0,65,CNN,-0.802
65,2018-03-20 21:35:02+00:00,0.095,0.62,0.285,66,CNN,0.6808
66,2018-03-20 21:30:05+00:00,0.227,0.773,0.0,67,CNN,-0.5719
67,2018-03-20 21:25:06+00:00,0.231,0.769,0.0,68,CNN,-0.5423
68,2018-03-20 21:20:45+00:00,0.0,0.731,0.269,69,CNN,0.7096
69,2018-03-20 21:19:25+00:00,0.108,0.769,0.123,70,CNN,0.1027
70,2018-03-20 21:13:34+00:00,0.0,1.0,0.0,71,CNN,0.0
71,2018-03-20 21:10:44+00:00,0.0,1.0,0.0,72,CNN,0.0
72,2018-03-20 21:09:27+00:00,0.0,0.75,0.25,73,CNN,0.7184
